nohup: ignoring input
[run] ours-r2-opp-l08 -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_ours_r2_opp_l08_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.1, reverse=0.0, hardneg=0.0, opposite=0.8)
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/843 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (7): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_up.weight, fc.bias, fc.weight
Train pairs: 739,559  Val pairs: 80,509
PK sampler [task]: P=2 x K=4 (batch 8) over 107 classes
Starting training from step 0 -> 5000
step   1500 | loss 0.8413 | mse 0.0009 | kl 22.253688 | act 0.6708 | zero 0.0156 | opp 0.1297 (margin -0.009, anchors 4.6) | lr 8.30e-06
[val] step   1500 | loss 0.0585 | mse 0.0007 | psnr 31.77 dB
step   1550 | loss 0.9819 | mse 0.0007 | kl 21.336529 | act 0.7703 | zero 0.0178 | opp 0.1841 (margin -0.052, anchors 4.6) | lr 8.17e-06
step   1600 | loss 0.9271 | mse 0.0008 | kl 22.868043 | act 0.7482 | zero 0.0145 | opp 0.1381 (margin 0.005, anchors 3.5) | lr 8.04e-06
step   1650 | loss 0.8134 | mse 0.0007 | kl 22.523744 | act 0.6336 | zero 0.0162 | opp 0.1405 (margin 0.009, anchors 4.2) | lr 7.91e-06
step   1700 | loss 0.9021 | mse 0.0007 | kl 19.379899 | act 0.7367 | zero 0.0269 | opp 0.1323 (margin 0.021, anchors 4.0) | lr 7.78e-06
step   1750 | loss 0.8797 | mse 0.0007 | kl 20.073695 | act 0.6945 | zero 0.0187 | opp 0.1560 (margin -0.004, anchors 4.2) | lr 7.64e-06
step   1800 | loss 0.9743 | mse 0.0007 | kl 21.416962 | act 0.7571 | zero 0.0202 | opp 0.1909 (margin -0.001, anchors 4.0) | lr 7.50e-06
step   1850 | loss 0.7564 | mse 0.0007 | kl 20.640638 | act 0.5544 | zero 0.0163 | opp 0.1749 (margin 0.009, anchors 4.2) | lr 7.36e-06
step   1900 | loss 1.2065 | mse 0.0007 | kl 20.968072 | act 0.9767 | zero 0.0192 | opp 0.2081 (margin 0.009, anchors 4.2) | lr 7.21e-06
step   1950 | loss 1.0021 | mse 0.0007 | kl 21.275358 | act 0.8206 | zero 0.0285 | opp 0.1459 (margin 0.025, anchors 4.1) | lr 7.06e-06
step   2000 | loss 0.6442 | mse 0.0006 | kl 19.127616 | act 0.4613 | zero 0.0183 | opp 0.1563 (margin 0.048, anchors 4.2) | lr 6.91e-06
[val] step   2000 | loss 0.0650 | mse 0.0006 | psnr 31.99 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_ours_r2_opp_l08_5k/step_0002000
step   2050 | loss 0.6600 | mse 0.0006 | kl 19.577239 | act 0.4851 | zero 0.0180 | opp 0.1445 (margin 0.001, anchors 4.1) | lr 6.76e-06
step   2100 | loss 0.9226 | mse 0.0007 | kl 26.159970 | act 0.7170 | zero 0.0090 | opp 0.1604 (margin 0.003, anchors 4.1) | lr 6.61e-06
step   2150 | loss 1.1314 | mse 0.0007 | kl 24.240964 | act 0.9128 | zero 0.0177 | opp 0.1825 (margin -0.004, anchors 4.2) | lr 6.45e-06
step   2200 | loss 0.9735 | mse 0.0007 | kl 23.890175 | act 0.7623 | zero 0.0080 | opp 0.1757 (margin 0.041, anchors 4.0) | lr 6.29e-06
step   2250 | loss 0.6232 | mse 0.0006 | kl 18.540608 | act 0.4347 | zero 0.0177 | opp 0.1657 (margin 0.009, anchors 4.2) | lr 6.14e-06
step   2300 | loss 0.9979 | mse 0.0006 | kl 21.653178 | act 0.7614 | zero 0.0175 | opp 0.2144 (margin -0.062, anchors 4.0) | lr 5.98e-06
step   2350 | loss 0.9842 | mse 0.0008 | kl 24.238229 | act 0.7793 | zero 0.0077 | opp 0.1665 (margin 0.011, anchors 4.1) | lr 5.81e-06
