[run] idm -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_idm_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
		More than one GPU was found, enabling multi-GPU training.
		If this was unintended please pass in `--num_processes=1`.
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.0, reverse=0.0, hardneg=0.0, opposite=0.0, pctr=0.0) | recon=0.0
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/843 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (7): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_up.weight, fc.bias, fc.weight
Train pairs: 739,559  Val pairs: 80,509
Starting training from step 0 -> 5000
step   2350 | loss 0.9813 | mse 0.0118 | kl 21.646528 | act 0.9167 | lr 9.61e-08
step   2400 | loss 1.0447 | mse 0.0134 | kl 24.629769 | act 0.9712 | lr 4.28e-08
step   2450 | loss 0.8240 | mse 0.0119 | kl 19.627758 | act 0.7654 | lr 1.07e-08
step   2500 | loss 0.6989 | mse 0.0124 | kl 23.806536 | act 0.6279 | lr 0.00e+00
[val] step   2500 | loss 0.0691 | mse 0.0077 | psnr 21.12 dB
step   2550 | loss 0.9911 | mse 0.0135 | kl 23.387515 | act 0.9213 | lr 1.07e-08
step   2600 | loss 0.7642 | mse 0.0124 | kl 22.393214 | act 0.6974 | lr 4.28e-08
step   2650 | loss 0.7915 | mse 0.0114 | kl 22.937442 | act 0.7231 | lr 9.61e-08
step   2700 | loss 1.0947 | mse 0.0124 | kl 24.585335 | act 1.0214 | lr 1.70e-07
step   2750 | loss 0.8494 | mse 0.0123 | kl 25.757875 | act 0.7725 | lr 2.65e-07
step   2800 | loss 0.8552 | mse 0.0124 | kl 25.592946 | act 0.7788 | lr 3.81e-07
step   2850 | loss 0.7813 | mse 0.0123 | kl 23.842517 | act 0.7102 | lr 5.16e-07
step   2900 | loss 0.7607 | mse 0.0119 | kl 21.838868 | act 0.6955 | lr 6.70e-07
step   2950 | loss 0.6253 | mse 0.0117 | kl 19.906474 | act 0.5659 | lr 8.43e-07
step   3000 | loss 0.8215 | mse 0.0121 | kl 22.237893 | act 0.7551 | lr 1.03e-06
[val] step   3000 | loss 0.0712 | mse 0.0079 | psnr 21.04 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_idm_5k/step_0003000
step   3050 | loss 0.9391 | mse 0.0121 | kl 23.296214 | act 0.8696 | lr 1.24e-06
step   3100 | loss 0.7915 | mse 0.0133 | kl 25.046634 | act 0.7168 | lr 1.46e-06
step   3150 | loss 1.0003 | mse 0.0129 | kl 25.344204 | act 0.9247 | lr 1.70e-06
step   3200 | loss 0.7764 | mse 0.0130 | kl 23.455253 | act 0.7064 | lr 1.96e-06
step   3250 | loss 0.9777 | mse 0.0123 | kl 21.958611 | act 0.9122 | lr 2.22e-06
step   3300 | loss 0.8218 | mse 0.0127 | kl 29.405635 | act 0.7340 | lr 2.50e-06
step   3350 | loss 0.8802 | mse 0.0124 | kl 26.234254 | act 0.8020 | lr 2.79e-06
step   3400 | loss 0.9639 | mse 0.0117 | kl 24.796920 | act 0.8900 | lr 3.09e-06
step   3450 | loss 0.9948 | mse 0.0120 | kl 21.675630 | act 0.9301 | lr 3.39e-06
step   3500 | loss 0.7754 | mse 0.0117 | kl 19.757778 | act 0.7165 | lr 3.71e-06
[val] step   3500 | loss 0.0856 | mse 0.0087 | psnr 20.59 dB
step   3550 | loss 0.8680 | mse 0.0133 | kl 24.347696 | act 0.7954 | lr 4.02e-06
step   3600 | loss 0.5508 | mse 0.0120 | kl 21.461993 | act 0.4868 | lr 4.35e-06
step   3650 | loss 0.7317 | mse 0.0122 | kl 26.180290 | act 0.6535 | lr 4.67e-06
step   3700 | loss 0.8626 | mse 0.0129 | kl 25.675608 | act 0.7859 | lr 5.00e-06
step   3750 | loss 0.8750 | mse 0.0124 | kl 25.695356 | act 0.7984 | lr 5.33e-06
step   3800 | loss 0.6512 | mse 0.0107 | kl 17.511933 | act 0.5989 | lr 5.65e-06
step   3850 | loss 1.0421 | mse 0.0131 | kl 26.997993 | act 0.9615 | lr 5.98e-06
step   3900 | loss 0.8388 | mse 0.0126 | kl 26.276276 | act 0.7604 | lr 6.29e-06
step   3950 | loss 0.9256 | mse 0.0130 | kl 25.047823 | act 0.8509 | lr 6.61e-06
step   4000 | loss 0.6523 | mse 0.0123 | kl 22.612622 | act 0.5848 | lr 6.91e-06
[val] step   4000 | loss 0.0651 | mse 0.0071 | psnr 21.52 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_idm_5k/step_0004000
step   4050 | loss 0.7320 | mse 0.0119 | kl 21.875577 | act 0.6667 | lr 7.21e-06
step   4100 | loss 0.7391 | mse 0.0132 | kl 23.655815 | act 0.6685 | lr 7.50e-06
step   4150 | loss 1.0926 | mse 0.0139 | kl 26.093580 | act 1.0147 | lr 7.78e-06
step   4200 | loss 0.7543 | mse 0.0122 | kl 21.126989 | act 0.6913 | lr 8.04e-06
step   4250 | loss 0.7944 | mse 0.0129 | kl 26.348033 | act 0.7157 | lr 8.30e-06
step   4300 | loss 0.6609 | mse 0.0128 | kl 25.967999 | act 0.5833 | lr 8.54e-06
step   4350 | loss 0.8657 | mse 0.0121 | kl 21.208157 | act 0.8023 | lr 8.76e-06
step   4400 | loss 1.2654 | mse 0.0135 | kl 31.229878 | act 1.1721 | lr 8.97e-06
step   4450 | loss 0.9490 | mse 0.0131 | kl 26.723841 | act 0.8692 | lr 9.16e-06
step   4500 | loss 0.8186 | mse 0.0123 | kl 25.316652 | act 0.7430 | lr 9.33e-06
[val] step   4500 | loss 0.0772 | mse 0.0080 | psnr 20.99 dB
step   4550 | loss 0.9077 | mse 0.0125 | kl 25.711004 | act 0.8309 | lr 9.48e-06
step   4600 | loss 0.7731 | mse 0.0123 | kl 24.867358 | act 0.6988 | lr 9.62e-06
step   4650 | loss 0.6769 | mse 0.0132 | kl 24.670015 | act 0.6031 | lr 9.73e-06
step   4700 | loss 0.6824 | mse 0.0127 | kl 21.247710 | act 0.6189 | lr 9.83e-06
step   4750 | loss 0.7732 | mse 0.0134 | kl 26.042315 | act 0.6954 | lr 9.90e-06
step   4800 | loss 0.8449 | mse 0.0131 | kl 24.955776 | act 0.7704 | lr 9.96e-06
step   4850 | loss 0.8782 | mse 0.0114 | kl 25.582518 | act 0.8017 | lr 9.99e-06
step   4900 | loss 0.8687 | mse 0.0130 | kl 24.716461 | act 0.7948 | lr 1.00e-05
step   4950 | loss 0.7629 | mse 0.0119 | kl 25.059927 | act 0.6880 | lr 9.99e-06
step   5000 | loss 0.7738 | mse 0.0119 | kl 21.520947 | act 0.7095 | lr 9.96e-06
[val] step   5000 | loss 0.0645 | mse 0.0072 | psnr 21.45 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_idm_5k/step_0005000
Training complete.
[rank0]:[W720 02:47:39.142692214 ProcessGroupNCCL.cpp:1553] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator())
