[run] ours-r-zero-opposite -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_ours_r_zero_opposite_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.1, reverse=0.0, hardneg=0.0, opposite=0.1)
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/843 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (7): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_up.weight, fc.bias, fc.weight
Train pairs: 739,559  Val pairs: 80,509
PK sampler [task]: P=2 x K=4 (batch 8) over 107 classes
Starting training from step 0 -> 5000
step   1500 | loss 0.7098 | mse 0.0009 | kl 22.401078 | act 0.6328 | zero 0.0092 | opp 0.1025 (margin -0.021, anchors 3.4) | lr 8.30e-06
[val] step   1500 | loss 0.0747 | mse 0.0007 | psnr 31.58 dB
step   1550 | loss 0.8153 | mse 0.0007 | kl 20.932957 | act 0.7375 | zero 0.0084 | opp 0.1566 (margin -0.039, anchors 4.1) | lr 8.17e-06
step   1600 | loss 0.7727 | mse 0.0008 | kl 22.160230 | act 0.6931 | zero 0.0084 | opp 0.1380 (margin 0.029, anchors 3.0) | lr 8.04e-06
step   1650 | loss 0.6559 | mse 0.0007 | kl 22.847573 | act 0.5736 | zero 0.0047 | opp 0.1482 (margin 0.030, anchors 3.8) | lr 7.91e-06
step   1700 | loss 0.7631 | mse 0.0007 | kl 18.987642 | act 0.6937 | zero 0.0132 | opp 0.1237 (margin 0.071, anchors 3.7) | lr 7.78e-06
step   1750 | loss 0.7310 | mse 0.0007 | kl 21.573269 | act 0.6499 | zero 0.0074 | opp 0.1726 (margin -0.007, anchors 3.6) | lr 7.64e-06
step   1800 | loss 0.7826 | mse 0.0007 | kl 22.542043 | act 0.7002 | zero 0.0026 | opp 0.1614 (margin -0.042, anchors 3.9) | lr 7.50e-06
step   1850 | loss 0.5957 | mse 0.0006 | kl 20.774748 | act 0.5169 | zero 0.0045 | opp 0.1745 (margin 0.044, anchors 3.3) | lr 7.36e-06
step   1900 | loss 1.0199 | mse 0.0007 | kl 21.229705 | act 0.9330 | zero 0.0078 | opp 0.2396 (margin -0.105, anchors 3.8) | lr 7.21e-06
step   1950 | loss 0.8532 | mse 0.0006 | kl 21.750599 | act 0.7762 | zero 0.0059 | opp 0.1286 (margin 0.039, anchors 3.6) | lr 7.06e-06
step   2000 | loss 0.4960 | mse 0.0006 | kl 19.890854 | act 0.4219 | zero 0.0067 | opp 0.1505 (margin 0.040, anchors 4.0) | lr 6.91e-06
[val] step   2000 | loss 0.0901 | mse 0.0006 | psnr 31.87 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_ours_r_zero_opposite_5k/step_0002000
step   2050 | loss 0.5171 | mse 0.0006 | kl 18.934138 | act 0.4465 | zero 0.0095 | opp 0.1411 (margin 0.009, anchors 3.7) | lr 6.76e-06
step   2100 | loss 0.7581 | mse 0.0007 | kl 27.077385 | act 0.6633 | zero 0.0035 | opp 0.1510 (margin 0.018, anchors 3.5) | lr 6.61e-06
step   2150 | loss 0.9336 | mse 0.0007 | kl 24.475910 | act 0.8467 | zero 0.0032 | opp 0.1490 (margin 0.064, anchors 3.5) | lr 6.45e-06
step   2200 | loss 0.7870 | mse 0.0007 | kl 25.116396 | act 0.6970 | zero 0.0030 | opp 0.1622 (margin 0.021, anchors 3.6) | lr 6.29e-06
step   2250 | loss 0.4763 | mse 0.0006 | kl 17.829509 | act 0.4103 | zero 0.0044 | opp 0.1344 (margin 0.049, anchors 3.8) | lr 6.14e-06
step   2300 | loss 0.8025 | mse 0.0006 | kl 23.005445 | act 0.7166 | zero 0.0073 | opp 0.1795 (margin -0.066, anchors 3.7) | lr 5.98e-06
step   2350 | loss 0.8169 | mse 0.0008 | kl 24.550246 | act 0.7267 | zero 0.0044 | opp 0.1780 (margin 0.039, anchors 3.6) | lr 5.81e-06
step   2400 | loss 0.7045 | mse 0.0008 | kl 23.273932 | act 0.6239 | zero 0.0034 | opp 0.1201 (margin 0.067, anchors 3.3) | lr 5.65e-06
step   2450 | loss 0.9296 | mse 0.0007 | kl 24.514773 | act 0.8449 | zero 0.0064 | opp 0.1217 (margin 0.055, anchors 3.2) | lr 5.49e-06
step   2500 | loss 1.0345 | mse 0.0007 | kl 30.874316 | act 0.9291 | zero 0.0020 | opp 0.1475 (margin 0.062, anchors 3.5) | lr 5.33e-06
[val] step   2500 | loss 0.1134 | mse 0.0006 | psnr 32.13 dB
step   2550 | loss 0.4472 | mse 0.0006 | kl 17.047087 | act 0.3828 | zero 0.0064 | opp 0.1374 (margin 0.055, anchors 3.8) | lr 5.16e-06
step   2600 | loss 0.8239 | mse 0.0007 | kl 27.279931 | act 0.7237 | zero 0.0041 | opp 0.1994 (margin -0.001, anchors 3.6) | lr 5.00e-06
step   2650 | loss 0.7377 | mse 0.0007 | kl 24.163378 | act 0.6532 | zero 0.0035 | opp 0.1321 (margin -0.001, anchors 3.6) | lr 4.84e-06
step   2700 | loss 0.8597 | mse 0.0007 | kl 32.962928 | act 0.7476 | zero 0.0011 | opp 0.1529 (margin 0.034, anchors 3.8) | lr 4.67e-06
step   2750 | loss 0.6882 | mse 0.0006 | kl 19.797839 | act 0.6191 | zero 0.0031 | opp 0.1097 (margin 0.060, anchors 3.7) | lr 4.51e-06
step   2800 | loss 0.9844 | mse 0.0007 | kl 27.474234 | act 0.8869 | zero 0.0038 | opp 0.1661 (margin -0.056, anchors 3.9) | lr 4.35e-06
step   2850 | loss 1.0664 | mse 0.0008 | kl 28.014738 | act 0.9628 | zero 0.0019 | opp 0.2117 (margin -0.090, anchors 3.4) | lr 4.19e-06
step   2900 | loss 0.8096 | mse 0.0006 | kl 27.523649 | act 0.7130 | zero 0.0055 | opp 0.1546 (margin 0.020, anchors 4.0) | lr 4.02e-06
step   2950 | loss 0.7329 | mse 0.0007 | kl 27.774436 | act 0.6345 | zero 0.0058 | opp 0.1629 (margin -0.005, anchors 3.8) | lr 3.86e-06
step   3000 | loss 0.5348 | mse 0.0006 | kl 17.724677 | act 0.4694 | zero 0.0049 | opp 0.1313 (margin -0.024, anchors 4.6) | lr 3.71e-06
[val] step   3000 | loss 0.0975 | mse 0.0006 | psnr 32.20 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_ours_r_zero_opposite_5k/step_0003000
step   3050 | loss 0.6391 | mse 0.0006 | kl 25.207587 | act 0.5462 | zero 0.0022 | opp 0.1898 (margin 0.033, anchors 3.4) | lr 3.55e-06
step   3100 | loss 0.5533 | mse 0.0006 | kl 23.009390 | act 0.4709 | zero 0.0046 | opp 0.1476 (margin -0.013, anchors 3.4) | lr 3.39e-06
step   3150 | loss 0.8424 | mse 0.0005 | kl 20.465673 | act 0.7627 | zero 0.0031 | opp 0.1948 (margin -0.044, anchors 3.3) | lr 3.24e-06
step   3200 | loss 0.5896 | mse 0.0005 | kl 18.939448 | act 0.5152 | zero 0.0034 | opp 0.1860 (margin -0.032, anchors 3.9) | lr 3.09e-06
step   3250 | loss 0.6508 | mse 0.0008 | kl 27.397596 | act 0.5604 | zero 0.0017 | opp 0.0985 (margin 0.066, anchors 3.5) | lr 2.94e-06
step   3300 | loss 0.6818 | mse 0.0006 | kl 22.062398 | act 0.6047 | zero 0.0017 | opp 0.1234 (margin 0.045, anchors 3.6) | lr 2.79e-06
step   3350 | loss 0.8348 | mse 0.0008 | kl 26.613416 | act 0.7377 | zero 0.0017 | opp 0.1875 (margin -0.079, anchors 3.9) | lr 2.64e-06
step   3400 | loss 0.6744 | mse 0.0006 | kl 21.632859 | act 0.5967 | zero 0.0015 | opp 0.1407 (margin 0.032, anchors 3.3) | lr 2.50e-06
step   3450 | loss 0.6976 | mse 0.0007 | kl 24.583533 | act 0.6103 | zero 0.0025 | opp 0.1514 (margin 0.023, anchors 4.2) | lr 2.36e-06
step   3500 | loss 0.8437 | mse 0.0007 | kl 29.263616 | act 0.7436 | zero 0.0009 | opp 0.1431 (margin 0.037, anchors 3.8) | lr 2.22e-06
