nohup: ignoring input
[run] cdlam-repro -> /home/xuan/embodied-ai/lam_disentangle/code/config/ft_l40_cdlam_repro_5k.yaml
The following values were not passed to `accelerate launch` and had defaults used instead:
		More than one GPU was found, enabling multi-GPU training.
		If this was unintended please pass in `--num_processes=1`.
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
/home/xuan/.venv/lib/python3.10/site-packages/accelerate/utils/launch.py:236: UserWarning: Port `29500` is already in use. Accelerate will attempt to launch in a standalone-like mode by finding an open port automatically for this session. If this current attempt fails, or for more control in future runs, please specify a different port (e.g., `--main_process_port <your_chosen_port>`) or use `--main_process_port 0` for automatic selection in your launch command or Accelerate config file.
  warnings.warn(
latent_dim=40 action_part=32 env_dim=8 | action_head=True (lambda_action=1.0) | indep=False (lambda_indep=0.0) | split_kl=True (beta_a=0.003, beta_e=1e-06) | contrastive=False (supcon=0.0, temporal=0.0, tau=0.1) | causal(zero=0.1, reverse=0.0, hardneg=0.0, opposite=0.0, pctr=0.1) | recon=1.0
Model params: 709.8M
[init_from] LAM_400k.ckpt: loaded 836/853 tensors
[init_from] shape-mismatch skipped (3): fc.weight(64, 1024)->(80, 1024), fc.bias(64,)->(80,), action_up.weight(1024, 32)->(1024, 40)
[init_from] left random-init (17): action_predictor.0.bias, action_predictor.0.weight, action_predictor.2.bias, action_predictor.2.weight, action_proj.0.bias, action_proj.0.weight, action_proj.2.bias, action_proj.2.weight ...
Train pairs: 739,559  Val pairs: 80,509
PK sampler [task]: P=2 x K=4 (batch 8) over 107 classes
Starting training from step 0 -> 5000
step   1150 | loss 0.7039 | mse 0.0008 | kl 20.476156 | act 0.5868 | zero 0.0035 | pctr 0.5663 (pos 12.5, neg 5.9, tau 10.1, b -9.99) | lr 5.98e-06
step   1200 | loss 0.6561 | mse 0.0009 | kl 18.454264 | act 0.5381 | zero 0.0050 | pctr 0.6346 (pos 15.1, neg 6.4, tau 10.1, b -9.99) | lr 5.65e-06
step   1250 | loss 1.1318 | mse 0.0009 | kl 25.077064 | act 0.9856 | zero 0.0032 | pctr 0.7233 (pos 17.1, neg 7.0, tau 10.1, b -9.99) | lr 5.33e-06
step   1300 | loss 0.7832 | mse 0.0008 | kl 19.987049 | act 0.6563 | zero 0.0032 | pctr 0.6807 (pos 13.7, neg 3.4, tau 10.1, b -9.99) | lr 5.00e-06
step   1350 | loss 0.7666 | mse 0.0008 | kl 26.981283 | act 0.6162 | zero 0.0011 | pctr 0.7117 (pos 20.8, neg 5.3, tau 10.1, b -9.99) | lr 4.67e-06
step   1400 | loss 1.0179 | mse 0.0009 | kl 23.413699 | act 0.8893 | zero 0.0012 | pctr 0.5978 (pos 15.8, neg 9.5, tau 10.1, b -9.99) | lr 4.35e-06
step   1450 | loss 0.7812 | mse 0.0007 | kl 15.589227 | act 0.6768 | zero 0.0041 | pctr 0.5832 (pos 13.1, neg 6.3, tau 10.1, b -9.99) | lr 4.02e-06
step   1500 | loss 0.7026 | mse 0.0008 | kl 21.238236 | act 0.5780 | zero 0.0019 | pctr 0.6201 (pos 15.6, neg 6.8, tau 10.1, b -9.99) | lr 3.71e-06
[val] step   1500 | loss 0.0726 | mse 0.0009 | psnr 30.69 dB
step   1550 | loss 0.8323 | mse 0.0008 | kl 26.650171 | act 0.6947 | zero 0.0010 | pctr 0.5930 (pos 15.7, neg 4.5, tau 10.1, b -9.99) | lr 3.39e-06
step   1600 | loss 1.1609 | mse 0.0009 | kl 24.154073 | act 1.0220 | zero 0.0022 | pctr 0.6794 (pos 21.0, neg 5.0, tau 10.1, b -9.99) | lr 3.09e-06
step   1650 | loss 0.7125 | mse 0.0008 | kl 21.473665 | act 0.5886 | zero 0.0016 | pctr 0.6063 (pos 15.9, neg 5.9, tau 10.1, b -9.98) | lr 2.79e-06
step   1700 | loss 0.7954 | mse 0.0007 | kl 25.330782 | act 0.6641 | zero 0.0009 | pctr 0.5711 (pos 12.2, neg 8.4, tau 10.1, b -9.98) | lr 2.50e-06
step   1750 | loss 0.7445 | mse 0.0008 | kl 24.035134 | act 0.6033 | zero 0.0013 | pctr 0.7052 (pos 18.9, neg 8.4, tau 10.1, b -9.98) | lr 2.22e-06
step   1800 | loss 0.7883 | mse 0.0009 | kl 23.658399 | act 0.6505 | zero 0.0015 | pctr 0.6815 (pos 15.7, neg 6.2, tau 10.1, b -9.98) | lr 1.96e-06
step   1850 | loss 0.6877 | mse 0.0008 | kl 24.190849 | act 0.5507 | zero 0.0007 | pctr 0.6596 (pos 16.4, neg 7.0, tau 10.1, b -9.98) | lr 1.70e-06
step   1900 | loss 0.7663 | mse 0.0008 | kl 27.537741 | act 0.6198 | zero 0.0005 | pctr 0.6559 (pos 21.1, neg 5.8, tau 10.1, b -9.98) | lr 1.46e-06
step   1950 | loss 0.6758 | mse 0.0007 | kl 21.126780 | act 0.5540 | zero 0.0010 | pctr 0.5982 (pos 18.7, neg 7.5, tau 10.1, b -9.98) | lr 1.24e-06
step   2000 | loss 0.7581 | mse 0.0007 | kl 24.793826 | act 0.6296 | zero 0.0006 | pctr 0.5583 (pos 14.8, neg 7.3, tau 10.1, b -9.98) | lr 1.03e-06
[val] step   2000 | loss 0.0760 | mse 0.0009 | psnr 30.70 dB
[save] checkpoint -> /home/xuan/embodied-ai/checkpoints/lam-dis/ft_l40_cdlam_repro_5k/step_0002000
step   2050 | loss 1.0842 | mse 0.0007 | kl 34.869337 | act 0.9210 | zero 0.0002 | pctr 0.6096 (pos 14.2, neg 5.6, tau 10.1, b -9.98) | lr 8.43e-07
step   2100 | loss 0.6582 | mse 0.0008 | kl 22.495578 | act 0.5342 | zero 0.0005 | pctr 0.5788 (pos 16.0, neg 3.2, tau 10.1, b -9.98) | lr 6.70e-07
step   2150 | loss 0.7027 | mse 0.0009 | kl 18.542565 | act 0.5889 | zero 0.0003 | pctr 0.5925 (pos 16.5, neg 6.3, tau 10.1, b -9.98) | lr 5.16e-07
step   2200 | loss 1.0000 | mse 0.0009 | kl 24.204737 | act 0.8674 | zero 0.0002 | pctr 0.6147 (pos 14.0, neg 6.7, tau 10.1, b -9.98) | lr 3.81e-07
step   2250 | loss 0.7517 | mse 0.0008 | kl 26.455534 | act 0.6158 | zero 0.0002 | pctr 0.5827 (pos 16.1, neg 7.1, tau 10.1, b -9.98) | lr 2.65e-07
step   2300 | loss 0.8599 | mse 0.0008 | kl 26.816930 | act 0.7238 | zero 0.0004 | pctr 0.5730 (pos 13.1, neg 4.4, tau 10.1, b -9.98) | lr 1.70e-07
step   2350 | loss 0.7990 | mse 0.0009 | kl 23.911205 | act 0.6698 | zero 0.0004 | pctr 0.5894 (pos 13.5, neg 5.2, tau 10.1, b -9.98) | lr 9.61e-08
step   2400 | loss 0.7166 | mse 0.0007 | kl 22.640345 | act 0.5934 | zero 0.0005 | pctr 0.5692 (pos 12.0, neg 5.2, tau 10.1, b -9.98) | lr 4.28e-08
step   2450 | loss 0.8098 | mse 0.0007 | kl 23.821165 | act 0.6770 | zero 0.0002 | pctr 0.6323 (pos 14.7, neg 5.2, tau 10.1, b -9.98) | lr 1.07e-08
step   2500 | loss 0.6608 | mse 0.0009 | kl 18.051983 | act 0.5439 | zero 0.0002 | pctr 0.6392 (pos 15.8, neg 5.0, tau 10.1, b -9.98) | lr 0.00e+00
[val] step   2500 | loss 0.0782 | mse 0.0008 | psnr 30.78 dB
step   2550 | loss 0.6246 | mse 0.0008 | kl 26.767241 | act 0.4863 | zero 0.0001 | pctr 0.5979 (pos 10.9, neg 5.2, tau 10.1, b -9.98) | lr 1.07e-08
step   2600 | loss 0.7737 | mse 0.0007 | kl 24.124684 | act 0.6423 | zero 0.0005 | pctr 0.6086 (pos 12.0, neg 3.9, tau 10.1, b -9.98) | lr 4.28e-08
step   2650 | loss 0.8135 | mse 0.0008 | kl 23.905918 | act 0.6872 | zero 0.0002 | pctr 0.5615 (pos 13.7, neg 10.0, tau 10.1, b -9.98) | lr 9.61e-08
step   2700 | loss 0.6751 | mse 0.0007 | kl 21.794661 | act 0.5546 | zero 0.0002 | pctr 0.5661 (pos 15.8, neg 4.9, tau 10.1, b -9.98) | lr 1.70e-07
step   2750 | loss 1.9353 | mse 0.0007 | kl 20.186389 | act 1.8227 | zero 0.0005 | pctr 0.5354 (pos 12.9, neg 4.4, tau 10.1, b -9.98) | lr 2.65e-07
step   2800 | loss 0.8222 | mse 0.0009 | kl 21.173333 | act 0.7015 | zero 0.0004 | pctr 0.5849 (pos 15.2, neg 4.8, tau 10.1, b -9.98) | lr 3.81e-07
step   2850 | loss 0.7490 | mse 0.0007 | kl 24.080268 | act 0.6190 | zero 0.0004 | pctr 0.5938 (pos 11.8, neg 5.3, tau 10.1, b -9.98) | lr 5.16e-07
step   2900 | loss 0.8192 | mse 0.0008 | kl 29.282626 | act 0.6686 | zero 0.0004 | pctr 0.6473 (pos 15.2, neg 3.8, tau 10.1, b -9.98) | lr 6.70e-07
step   2950 | loss 0.9060 | mse 0.0008 | kl 22.621103 | act 0.7835 | zero 0.0005 | pctr 0.5598 (pos 14.2, neg 6.7, tau 10.1, b -9.98) | lr 8.43e-07
